list_name,name,label,region,district
choices_block,290101101001,Block 1,29,2901,290101
choices_block,290102101002,Block 002 And 6 KM Main Campus,29,2901,290102
choices_block,290103101003,Block 3,29,2901,290103
choices_block,290104101004,Block 4,29,2901,290104
choices_block,290105101005,Block 5,29,2901,290105
choices_block,290106101006,Block 6,29,2901,290106
choices_block,290107101007,Block 7,29,2901,290107
choices_block,290108101008,Block 8,29,2901,290108
choices_block,290109101009,Block 9,29,2901,290109
choices_block,290110101010,Block 10,29,2901,290110
choices_block,290201102001,Block 1,29,2902,290201
choices_block,290202102002,Block 2,29,2902,290202
choices_block,290203102003,Block 3,29,2902,290203
choices_block,290204102004,Block 4,29,2902,290204
choices_block,290205102005,Block 5,29,2902,290205
choices_block,290206102006,Block 6,29,2902,290206
choices_block,290207102007,Block 7,29,2902,290207
