list_name,name,label,region
choices_primary_cooperative,Amul,Amul,10
choices_primary_cooperative,Saras,Saras,12
choices_primary_cooperative,Nandini,Nandini,17
choices_primary_cooperative,Vita,Vita,19
choices_primary_cooperative,Verka,Verka,21
choices_primary_cooperative,Milma,Milma,15
choices_primary_cooperative,Gokul,Gokul,20
choices_primary_cooperative,Medha,Medha,18
choices_primary_cooperative,Aavin,Aavin,16
choices_primary_cooperative,Omfed,Omfed,14
choices_primary_cooperative,Parag,Parag,13
